Abbrev	Ciudad	Region	Universidad-CO	Grado	Grado-Prev	Campo-Estudio	Fulbright-Grant	Genero	Area-Estudio	Departamento	Grado-Area-Estudio	Universidad-US	Cohorte
REG	BARRANQUILLA	Caribe	UNIVERSIDAD DEL NORTE	Ph.D.	BACHELOR	INGENIERIA ELECTRICA	BECA DE POSTGRADO PARA LAS REGIONES	MALE	ENGINEERING & APPLIED SCIENCES	ATLANTICO	Ph.D. ELECTRICAL ENGINEERING	Washington State University	2010
EST. CUL	SAN ANDRES	Caribe	FUNDACION UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO	MASTER'S	BACHELOR	RELACIONES INTERNACIONALES	BECA DE ESTUDIOS CULTURALES PARA COMUNIDADES AFRODESCENDIENTES E INDIGENAS	MALE	HUMANITIES & SOCIAL SCIENCES	ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA	MASTER'S IN PUBLIC ADMINISTRATION	SUNY at Binghamton	2010
REG	BARRANQUILLA	Caribe	UNIVERSIDAD PONTIFICIA BOLIVARIANA	MASTER'S	BACHELOR	DERECHO	BECA DE POSTGRADO PARA LAS REGIONES	MALE	LAW	ATLANTICO	LL.M.	American University	2010
SRM	ENVIGADO	Valle Aburra	UNIVERSIDAD NACIONAL DE COLOMBIA	MASTER'S	BACHELOR	ENGINEERING/INDUSTRIAL MANAGEMENT	BECA FULBRIGHT - SURAMERICANA	MALE	BUSINESS ADMINISTRATION & MANAGEMENT	ANTIOQUIA	M.S. HUMAN RESOURCES MANAGEMENT AND LABOR RELATIONS	Pennsylvania State University	2011
REG	ENVIGADO	Valle Aburra	ESCUELA DE INGENIERIA DE ANTIOQUIA EIA	MASTER'S	BACHELOR	INGENIERIA AMBIENTAL	BECA DE POSTGRADO PARA LAS REGIONES	FEMALE	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	ANTIOQUIA	M.S. CONSERVATION BIOLOGY	SUNY College of Environmental Science and Forestry	2010
REG	CARTAGENA	Caribe	FUNDACION UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO	MASTER'S	BACHELOR	GRAPHIC DESIGN	BECA DE POSTGRADO PARA LAS REGIONES	FEMALE	ART & ARCHITECTURE	BOLIVAR	M.A.- DESIGN M.A.NAGEMENT	University of Kansas	2011
REG	POPAYAN	Sur Occidente	PONTIFICIA UNIVERSIDAD JAVERIANA	Ph.D.	BACHELOR	BIOLOGIA	BECA DE POSTGRADO PARA LAS REGIONES	FEMALE	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	CAUCA	Ph.D. ENVIRONMENTAL HEALTH	SUNY Stony Brook	2010
CALDAS	CANDELARIA	Sur Occidente	UNIVERSIDAD NACIONAL DE COLOMBIA	Ph.D.	BACHELOR	AGRONOMY AND CROP SCIENCE	BECA COLCIENCIAS FULBRIGHT	MALE	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	VALLE DEL CAUCA	Ph.D. PLANT BREEDING	North Carolina State University	2011
REG	BARRANQUILLA	Caribe	UNIVERSIDAD DEL NORTE	MASTER'S	BACHELOR	LAW (LL.B., J.D.)	BECA DE POSTGRADO PARA LAS REGIONES	FEMALE	LAW	ATLANTICO	LL.M. INTERNATIONAL LEGAL STUDIES PROGRAM	American University	2011
CALDAS	BARRANQUILLA	Caribe	UNIVERSIDAD DEL NORTE	Ph.D.	BACHELOR	COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS, OTHER	BECA COLCIENCIAS FULBRIGHT	FEMALE	HUMANITIES & SOCIAL SCIENCES	ATLANTICO	Ph.D. COMMUNICATION STUDIES	Ohio University - Main Campus	2011
